wid,startTime,completed,bonus,version
w604a1f3,Sat Apr 22 2023 17:15:33 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
w9c2f1d2,Wed Apr 26 2023 07:52:01 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
w88b7c08,Wed Apr 26 2023 18:07:24 GMT+0530 (India Standard Time),True,0.25,1.0
we19a483,Sat Apr 22 2023 18:44:34 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w7319e40,Sun Apr 23 2023 19:45:02 GMT-0700 (Pacific Daylight Time),True,0.25,1.0
wb194c8d,Sat Apr 22 2023 10:10:08 GMT-0600 (GMT-06:00),True,0.25,1.0
w560c805,Sun Apr 23 2023 22:58:26 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
wd28cb92,Mon Apr 24 2023 17:11:12 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
wf5e5e86,Mon Apr 24 2023 20:22:31 GMT-0500 (Central Daylight Time),True,0.5,1.0
w6784b70,Mon Apr 24 2023 10:32:51 GMT-0600 (Mountain Daylight Time),True,0.5,1.0
wf5697a9,Mon Apr 24 2023 18:44:27 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
wc846d58,Mon Apr 24 2023 21:21:28 GMT+0530 (India Standard Time),True,0.25,1.0
w6075267,Sat Apr 22 2023 17:24:46 GMT-0500 (Central Daylight Time),True,0.5,1.0
w22956b0,Sat Apr 22 2023 18:33:39 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w650418f,Wed Apr 26 2023 07:00:22 GMT-0700 (Pacific Daylight Time),True,0.5,1.0
wbe792f6,Mon Apr 24 2023 16:13:05 GMT-0500 (Central Daylight Time),True,0.5,1.0
w7388ffc,Mon Apr 24 2023 19:03:01 GMT-0500 (Central Daylight Time),True,0.5,1.0
wbf2b3db,Mon Apr 24 2023 20:00:29 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w12872e3,Tue Apr 25 2023 00:19:42 GMT-0500 (Central Daylight Time),True,0.25,1.0
wbf6d80f,Mon Apr 24 2023 19:59:22 GMT-0400 (Venezuela Time),True,0.5,1.0
w7184da6,Mon Apr 24 2023 18:27:34 GMT-0700 (Pacific Daylight Time),True,0.5,1.0
we77245a,Sat Apr 22 2023 12:38:57 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w3b42409,Sun Apr 23 2023 22:03:21 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
w3cb10b4,Wed Apr 26 2023 09:00:56 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w906e754,Wed Apr 26 2023 05:29:14 GMT-0600 (Mountain Daylight Time),True,0.5,1.0
w43cc5f6,Mon Apr 24 2023 23:10:11 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w465024e,Sat Apr 22 2023 10:56:25 GMT-0700 (Pacific Daylight Time),True,0.25,1.0
w73c7106,Mon Apr 24 2023 18:37:13 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
wcbca860,Sun Apr 23 2023 22:54:57 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
w443739a,Sun Apr 23 2023 22:47:47 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w6c87cf3,Mon Apr 24 2023 15:41:32 GMT-0700 (Pacific Daylight Time),True,0.5,1.0
w5120945,Sat Apr 22 2023 16:05:14 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
w8b12df7,Mon Apr 24 2023 12:11:43 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
w66100fb,Sat Apr 22 2023 13:02:28 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
wf03474e,Mon Apr 24 2023 12:17:33 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
wd4d6015,Sat Apr 22 2023 14:32:00 GMT-0700 (Pacific Daylight Time),True,0.5,1.0
w79d33bb,Sun Apr 23 2023 22:20:30 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w44f295b,Wed Apr 26 2023 20:37:48 GMT+0530 (India Standard Time),True,0.5,1.0
w1537a0d,Sat Apr 22 2023 12:00:38 GMT-0400 (America New_York Standard Time),True,0.25,1.0
w9b0c0d4,Mon Apr 24 2023 16:50:46 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w7ba3836,Mon Apr 24 2023 17:45:53 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w55c243b,Mon Apr 24 2023 20:52:25 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
wed1a3cf,Sun Apr 23 2023 21:22:30 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
wf34accc,Sat Apr 22 2023 13:47:13 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
wcd8c957,Sun Apr 23 2023 23:28:22 GMT-0500 (Central Daylight Time),True,0.5,1.0
wf91401b,Sat Apr 22 2023 14:12:04 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
we20c24a,Sun Apr 23 2023 22:13:28 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
w3ed8293,Mon Apr 24 2023 21:32:25 GMT-0500 (GMT-05:00),True,0.25,1.0
w0100cf9,Sat Apr 22 2023 13:11:25 GMT-0700 (Pacific Daylight Time),True,0.25,1.0
wf1cdf7a,Sun Apr 23 2023 22:23:50 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
wb677e5f,Sat Apr 22 2023 21:34:54 GMT+0530 (India Standard Time),True,0.5,1.0
w5163d30,Wed Apr 26 2023 08:56:19 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w56a4125,Wed Apr 26 2023 19:13:33 GMT+0530 (India Standard Time),True,0.25,1.0
w00775bd,Mon Apr 24 2023 02:45:29 GMT-0700 (Pacific Daylight Time),True,0.25,1.0
w051e3dd,Sat Apr 22 2023 12:06:45 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
wccbbc51,Sun Apr 23 2023 12:41:37 GMT-0700 (Pacific Daylight Time),True,0.5,1.0
w23e6b75,Mon Apr 24 2023 10:03:29 GMT-0700 (Pacific Daylight Time),True,0.5,1.0
w5ba4ad1,Sat Apr 22 2023 13:00:07 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
w8ef0a7d,Mon Apr 24 2023 17:06:15 GMT-0700 (Pacific Daylight Time),True,0.25,1.0
wcfd6fea,Mon Apr 24 2023 21:33:49 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w57ce50c,Mon Apr 24 2023 18:31:04 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w598266f,Mon Apr 24 2023 17:00:20 GMT-0700 (Pacific Daylight Time),True,0.25,1.0
wda54a75,Mon Apr 24 2023 21:32:03 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w4861ddd,Sat Apr 22 2023 09:08:15 GMT-0700 (Pacific Daylight Time),True,0.5,1.0
w13fbba7,Mon Apr 24 2023 23:26:04 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
wf5dbe29,Sat Apr 22 2023 14:14:20 GMT-0500 (Central Daylight Time),True,0.25,1.0
w2939afb,Mon Apr 24 2023 17:01:43 GMT-0700 (Mountain Standard Time),True,0.25,1.0
w7c46c15,Wed Apr 26 2023 05:07:07 GMT-0700 (Pacific Daylight Time),True,0.25,1.0
w6bd8020,Wed Apr 26 2023 20:46:43 GMT+0530 (India Standard Time),True,0.5,1.0
wc8c65c7,Mon Apr 24 2023 00:24:50 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
wb47a397,Mon Apr 24 2023 12:11:54 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w40397a8,Sun Apr 23 2023 18:42:53 GMT-0500 (Central Daylight Time),True,0.5,1.0
w49dc396,Wed Apr 26 2023 07:29:01 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
wc0e045c,Wed Apr 26 2023 07:47:53 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
w7815325,Tue Apr 25 2023 00:35:01 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w480a190,Mon Apr 24 2023 23:36:38 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
wb07430a,Mon Apr 24 2023 00:01:57 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w3f91209,Mon Apr 24 2023 20:26:01 GMT-0700 (Pacific Daylight Time),True,0.25,1.0
waf4ea93,Mon Apr 24 2023 10:40:21 GMT-0500 (Central Daylight Time),True,0.5,1.0
w5ca7569,Wed Apr 26 2023 18:50:12 GMT+0530 (India Standard Time),True,0.25,1.0
w764e1f2,Mon Apr 24 2023 23:59:04 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
w1d69797,Mon Apr 24 2023 12:50:42 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w2d9a271,Sun Apr 23 2023 17:47:29 GMT-0500 (Central Daylight Time),True,0.25,1.0
w90b6a49,Sat Apr 22 2023 11:51:55 GMT-0500 (Central Daylight Time),True,0.25,1.0
wf8ec96c,Sun Apr 23 2023 20:11:16 GMT-0500 (Central Daylight Time),True,0.5,1.0
wa26e043,Mon Apr 24 2023 16:59:53 GMT-0500 (Central Daylight Time),True,0.5,1.0
w114df1d,Mon Apr 24 2023 17:04:50 GMT-0500 (Central Daylight Time),True,0.5,1.0
w614cdc8,Mon Apr 24 2023 15:37:48 GMT-0500 (Central Daylight Time),True,0.5,1.0
w48ded82,Sun Apr 23 2023 17:49:45 GMT-0500 (Central Daylight Time),True,0.25,1.0
w2731dfc,Mon Apr 24 2023 21:45:32 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w1fcae71,Mon Apr 24 2023 21:53:58 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
w345c6af,Mon Apr 24 2023 21:55:15 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
wa2400fe,Mon Apr 24 2023 21:33:59 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
wbaa4cd5,Sun Apr 23 2023 17:59:46 GMT-0500 (Central Daylight Time),True,0.25,1.0
wb13bff6,Sun Apr 23 2023 18:01:29 GMT-0500 (Central Daylight Time),True,0.25,1.0
wb3e454a,Sun Apr 23 2023 18:02:35 GMT-0500 (Central Daylight Time),True,0.5,1.0
w0771b87,Sun Apr 23 2023 18:32:39 GMT-0500 (Central Daylight Time),True,0.25,1.0
w151c3c0,Mon Apr 24 2023 17:06:55 GMT-0500 (Central Daylight Time),True,0.25,1.0
wf66a63e,Mon Apr 24 2023 21:37:48 GMT-0500 (åç¾ä¸­é¨å¤ä»¤æ¶é´),True,0.25,1.0
w7f0988d,Mon Apr 24 2023 21:41:24 GMT-0500 (åç¾ä¸­é¨å¤ä»¤æ¶é´),True,0.25,1.0
wcd3c8c0,Mon Apr 24 2023 21:35:29 GMT-0500 (åç¾ä¸­é¨å¤ä»¤æ¶é´),True,0.25,1.0
w861391e,Mon Apr 24 2023 20:27:37 GMT-0500 (Central Daylight Time),True,0.5,1.0
wab4f61a,Mon Apr 24 2023 17:40:23 GMT-0500 (Central Daylight Time),True,0.5,1.0
w49099cd,Mon Apr 24 2023 17:09:34 GMT-0500 (Central Daylight Time),True,0.5,1.0
wdf3969b,Tue Apr 25 2023 19:51:53 GMT-0500 (Central Daylight Time),True,0.5,1.0
